type,entry_time,exit_time,entry_price,exit_price,profit,result,month
BUY,2026-03-02 13:20:00,2026-03-02 13:25:00,5405.359,5403.359,-20.0,SL,2026-03
SELL,2026-03-02 14:30:00,2026-03-02 14:35:00,5316.767,5318.767,-20.0,SL,2026-03
SELL,2026-03-02 16:00:00,2026-03-02 16:05:00,5273.347,5275.347,-20.0,SL,2026-03
SELL,2026-03-02 16:15:00,2026-03-02 16:20:00,5285.172,5287.172,-20.0,SL,2026-03
SELL,2026-03-02 16:30:00,2026-03-02 16:35:00,5297.477,5299.477,-20.0,SL,2026-03
BUY,2026-03-03 00:10:00,2026-03-03 00:15:00,5348.354,5352.354,40.0,TP,2026-03
BUY,2026-03-03 00:40:00,2026-03-03 00:45:00,5355.022,5353.022,-20.0,SL,2026-03
BUY,2026-03-03 01:00:00,2026-03-03 01:05:00,5362.696,5366.696,40.0,TP,2026-03
BUY,2026-03-03 01:15:00,2026-03-03 01:20:00,5371.643,5375.643,40.0,TP,2026-03
BUY,2026-03-03 02:00:00,2026-03-03 02:05:00,5347.664,5345.664,-20.0,SL,2026-03
SELL,2026-03-03 05:45:00,2026-03-03 05:50:00,5326.183,5328.183,-20.0,SL,2026-03
SELL,2026-03-03 06:10:00,2026-03-03 06:15:00,5289.514,5291.514,-20.0,SL,2026-03
SELL,2026-03-03 06:30:00,2026-03-03 06:35:00,5313.692,5315.692,-20.0,SL,2026-03
SELL,2026-03-03 06:45:00,2026-03-03 06:50:00,5304.165,5306.165,-20.0,SL,2026-03
SELL,2026-03-03 09:25:00,2026-03-03 09:30:00,5242.253,5244.253,-20.0,SL,2026-03
SELL,2026-03-03 11:05:00,2026-03-03 11:10:00,5171.37,5173.37,-20.0,SL,2026-03
SELL,2026-03-03 11:20:00,2026-03-03 11:25:00,5187.858,5189.858,-20.0,SL,2026-03
SELL,2026-03-03 14:40:00,2026-03-03 14:45:00,5071.423,5073.423,-20.0,SL,2026-03
SELL,2026-03-03 20:50:00,2026-03-03 20:55:00,5095.748,5097.748,-20.0,SL,2026-03
SELL,2026-03-03 21:15:00,2026-03-03 21:20:00,5093.922,5095.922,-20.0,SL,2026-03
SELL,2026-03-03 21:25:00,2026-03-03 21:30:00,5089.477,5091.477,-20.0,SL,2026-03
SELL,2026-03-03 21:45:00,2026-03-03 21:50:00,5087.407,5089.407,-20.0,SL,2026-03
BUY,2026-03-04 00:40:00,2026-03-04 00:45:00,5132.356,5136.356,40.0,TP,2026-03
BUY,2026-03-04 07:05:00,2026-03-04 07:10:00,5174.607,5172.607,-20.0,SL,2026-03
BUY,2026-03-04 07:20:00,2026-03-04 07:25:00,5171.44,5169.44,-20.0,SL,2026-03
BUY,2026-03-04 07:35:00,2026-03-04 07:40:00,5171.807,5169.807,-20.0,SL,2026-03
BUY,2026-03-04 07:45:00,2026-03-04 07:50:00,5175.223,5173.223,-20.0,SL,2026-03
BUY,2026-03-04 08:45:00,2026-03-04 08:50:00,5180.817,5178.817,-20.0,SL,2026-03
BUY,2026-03-04 09:35:00,2026-03-04 09:40:00,5183.362,5181.362,-20.0,SL,2026-03
BUY,2026-03-04 09:55:00,2026-03-04 10:00:00,5182.28,5186.28,40.0,TP,2026-03
BUY,2026-03-04 10:05:00,2026-03-04 10:10:00,5194.575,5192.575,-20.0,SL,2026-03
SELL,2026-03-04 14:45:00,2026-03-04 14:50:00,5155.441,5157.441,-20.0,SL,2026-03
SELL,2026-03-04 15:10:00,2026-03-04 15:15:00,5134.314,5136.314,-20.0,SL,2026-03
SELL,2026-03-04 15:35:00,2026-03-04 15:40:00,5153.052,5149.052,40.0,TP,2026-03
BUY,2026-03-04 23:45:00,2026-03-04 23:50:00,5159.279,5157.279,-20.0,SL,2026-03
BUY,2026-03-04 23:55:00,2026-03-05 00:00:00,5164.962,5162.962,-20.0,SL,2026-03
BUY,2026-03-05 00:10:00,2026-03-05 00:15:00,5171.148,5175.148,40.0,TP,2026-03
BUY,2026-03-05 00:45:00,2026-03-05 00:50:00,5176.351,5174.351,-20.0,SL,2026-03
BUY,2026-03-05 09:05:00,2026-03-05 09:10:00,5176.619,5174.619,-20.0,SL,2026-03
SELL,2026-03-05 13:00:00,2026-03-05 13:05:00,5154.397,5156.397,-20.0,SL,2026-03
SELL,2026-03-05 13:15:00,2026-03-05 13:20:00,5131.291,5127.291,40.0,TP,2026-03
SELL,2026-03-05 13:45:00,2026-03-05 13:50:00,5119.838,5121.838,-20.0,SL,2026-03
SELL,2026-03-05 14:05:00,2026-03-05 14:10:00,5121.111,5123.111,-20.0,SL,2026-03
SELL,2026-03-05 15:05:00,2026-03-05 15:10:00,5070.399,5072.399,-20.0,SL,2026-03
SELL,2026-03-05 15:20:00,2026-03-05 15:25:00,5078.893,5080.893,-20.0,SL,2026-03
BUY,2026-03-06 01:35:00,2026-03-06 01:40:00,5108.367,5112.367,40.0,TP,2026-03
BUY,2026-03-06 01:45:00,2026-03-06 01:50:00,5120.933,5124.933,40.0,TP,2026-03
SELL,2026-03-06 09:00:00,2026-03-06 09:05:00,5102.648,5104.648,-20.0,SL,2026-03
SELL,2026-03-06 09:10:00,2026-03-06 09:15:00,5095.793,5097.793,-20.0,SL,2026-03
