type,entry_time,exit_time,entry_price,exit_price,sl,tp,profit,result,level,month
BUY,2026-01-05 04:55:00,2026-01-05 05:25:00,4404.147,4412.147,400,800,80.0,TP,61.8,2026-01
BUY,2026-01-05 20:10:00,2026-01-05 20:35:00,4443.957,4439.957,400,800,-40.0,SL,61.8,2026-01
BUY,2026-01-05 20:45:00,2026-01-05 21:45:00,4440.693,4448.693,400,800,80.0,TP,61.8,2026-01
BUY,2026-01-06 08:00:00,2026-01-06 08:20:00,4461.16,4469.16,400,800,80.0,TP,61.8,2026-01
BUY,2026-01-06 08:50:00,2026-01-06 09:05:00,4467.074,4463.074,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-07 09:35:00,2026-01-07 10:40:00,4462.828,4466.828,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-07 14:05:00,2026-01-07 14:15:00,4448.7,4452.7,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-07 14:20:00,2026-01-07 14:30:00,4445.495,4449.495,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-07 14:35:00,2026-01-07 14:40:00,4441.066,4445.066,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-07 16:10:00,2026-01-07 16:20:00,4447.043,4451.043,400,800,-40.0,SL,61.8,2026-01
SELL,2026-01-08 11:20:00,2026-01-08 12:00:00,4425.784,4417.784,400,800,80.0,TP,61.8,2026-01
SELL,2026-01-08 12:40:00,2026-01-08 13:05:00,4429.006,4421.006,400,800,80.0,TP,61.8,2026-01
SELL,2026-01-08 14:25:00,2026-01-08 14:30:00,4427.676,4431.676,400,800,-40.0,SL,61.8,2026-01
BUY,2026-01-09 11:45:00,2026-01-09 12:05:00,4472.34,4480.34,400,800,80.0,TP,61.8,2026-01
SELL,2026-01-09 12:15:00,2026-01-09 12:30:00,4473.718,4465.718,400,800,80.0,TP,61.8,2026-01
SELL,2026-01-09 12:40:00,2026-01-09 13:00:00,4465.999,4469.999,400,800,-40.0,SL,61.8,2026-01
BUY,2026-01-09 13:25:00,2026-01-09 13:30:00,4472.947,4468.947,400,800,-40.0,SL,61.8,2026-01
