type,entry_time,exit_time,entry_price,exit_price,profit,result,confidence,level,month
SELL,2026-03-04 07:15:00,2026-03-04 07:30:00,5167.672,5170.672,-30.0,SL,75,61.8,2026-03
SELL,2026-03-04 07:45:00,2026-03-04 08:00:00,5168.323,5171.323,-30.0,SL,75,61.8,2026-03
SELL,2026-03-04 11:45:00,2026-03-04 12:00:00,5192.248,5195.248,-30.0,SL,70,78.6,2026-03
SELL,2026-03-04 12:15:00,2026-03-04 12:30:00,5178.231,5172.231,60.0,TP,80,61.8,2026-03
SELL,2026-03-04 13:15:00,2026-03-04 13:30:00,5192.482,5186.482,60.0,TP,70,78.6,2026-03
SELL,2026-03-04 13:45:00,2026-03-04 14:00:00,5168.02,5171.02,-30.0,SL,75,61.8,2026-03
SELL,2026-03-04 23:00:00,2026-03-04 23:15:00,5146.862,5149.862,-30.0,SL,70,78.6,2026-03
SELL,2026-03-05 07:30:00,2026-03-05 07:45:00,5160.494,5163.494,-30.0,SL,75,61.8,2026-03
BUY,2026-03-05 10:30:00,2026-03-05 10:45:00,5157.166,5163.166,60.0,TP,75,61.8,2026-03
BUY,2026-03-05 11:00:00,2026-03-05 11:15:00,5164.461,5161.461,-30.0,SL,75,61.8,2026-03
BUY,2026-03-05 11:45:00,2026-03-05 12:00:00,5163.609,5169.609,60.0,TP,70,61.8,2026-03
BUY,2026-03-05 12:30:00,2026-03-05 13:00:00,5162.686,5159.686,-30.0,SL,75,61.8,2026-03
SELL,2026-03-05 23:45:00,2026-03-06 00:00:00,5086.406,5089.406,-30.0,SL,75,61.8,2026-03
SELL,2026-03-06 00:45:00,2026-03-06 01:00:00,5084.636,5078.636,60.0,TP,75,61.8,2026-03
SELL,2026-03-06 03:30:00,2026-03-06 04:00:00,5132.374,5135.374,-30.0,SL,75,78.6,2026-03
SELL,2026-03-06 04:15:00,2026-03-06 04:30:00,5129.816,5132.816,-30.0,SL,75,78.6,2026-03
SELL,2026-03-06 04:45:00,2026-03-06 05:30:00,5127.809,5121.809,60.0,TP,75,78.6,2026-03
SELL,2026-03-06 06:00:00,2026-03-06 06:15:00,5116.584,5119.584,-30.0,SL,75,61.8,2026-03
SELL,2026-03-06 06:45:00,2026-03-06 07:00:00,5115.719,5109.719,60.0,TP,75,61.8,2026-03
SELL,2026-03-06 13:45:00,2026-03-06 14:00:00,5084.993,5087.993,-30.0,SL,75,61.8,2026-03
BUY,2026-03-06 21:00:00,2026-03-06 21:30:00,5165.124,5171.124,60.0,TP,70,61.8,2026-03
BUY,2026-03-08 22:15:00,2026-03-08 22:30:00,5155.69,5152.69,-30.0,SL,75,61.8,2026-03
SELL,2026-03-09 04:45:00,2026-03-09 05:00:00,5090.1,5093.1,-30.0,SL,70,78.6,2026-03
SELL,2026-03-09 06:30:00,2026-03-09 06:45:00,5107.177,5110.177,-30.0,SL,70,78.6,2026-03
SELL,2026-03-09 07:00:00,2026-03-09 07:15:00,5097.085,5100.085,-30.0,SL,75,61.8,2026-03
BUY,2026-03-09 18:15:00,2026-03-09 18:30:00,5105.366,5111.366,60.0,TP,70,78.6,2026-03
BUY,2026-03-10 04:00:00,2026-03-10 05:00:00,5164.233,5170.233,60.0,TP,80,61.8,2026-03
BUY,2026-03-10 05:15:00,2026-03-10 05:30:00,5171.546,5168.546,-30.0,SL,75,61.8,2026-03
BUY,2026-03-10 05:45:00,2026-03-10 06:00:00,5177.916,5174.916,-30.0,SL,80,61.8,2026-03
BUY,2026-03-10 10:45:00,2026-03-10 11:00:00,5177.142,5183.142,60.0,TP,80,61.8,2026-03
BUY,2026-03-10 11:45:00,2026-03-10 12:00:00,5175.048,5172.048,-30.0,SL,75,61.8,2026-03
BUY,2026-03-10 12:15:00,2026-03-10 12:45:00,5179.528,5185.528,60.0,TP,80,61.8,2026-03
BUY,2026-03-10 15:00:00,2026-03-10 15:30:00,5223.581,5229.581,60.0,TP,70,78.6,2026-03
BUY,2026-03-10 19:45:00,2026-03-10 20:00:00,5198.935,5195.935,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 00:15:00,2026-03-11 00:30:00,5212.627,5209.627,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 04:30:00,2026-03-11 04:45:00,5206.859,5203.859,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 05:00:00,2026-03-11 05:15:00,5204.561,5201.561,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 06:00:00,2026-03-11 06:15:00,5209.351,5206.351,-30.0,SL,80,61.8,2026-03
BUY,2026-03-11 07:00:00,2026-03-11 07:15:00,5198.794,5195.794,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 08:00:00,2026-03-11 08:15:00,5198.392,5195.392,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 12:15:00,2026-03-11 12:30:00,5191.292,5188.292,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 14:00:00,2026-03-11 14:15:00,5189.826,5186.826,-30.0,SL,75,61.8,2026-03
BUY,2026-03-11 14:45:00,2026-03-11 15:00:00,5183.389,5180.389,-30.0,SL,75,61.8,2026-03
SELL,2026-03-11 15:30:00,2026-03-11 15:45:00,5169.584,5172.584,-30.0,SL,70,61.8,2026-03
BUY,2026-03-11 16:30:00,2026-03-11 16:45:00,5174.455,5171.455,-30.0,SL,80,61.8,2026-03
SELL,2026-03-11 17:15:00,2026-03-11 17:30:00,5172.021,5166.021,60.0,TP,80,61.8,2026-03
BUY,2026-03-11 19:15:00,2026-03-11 19:45:00,5177.052,5183.052,60.0,TP,70,61.8,2026-03
SELL,2026-03-11 20:00:00,2026-03-11 22:00:00,5177.774,5180.774,-30.0,SL,75,61.8,2026-03
SELL,2026-03-12 03:30:00,2026-03-12 04:30:00,5152.352,5146.352,60.0,TP,75,61.8,2026-03
SELL,2026-03-12 10:00:00,2026-03-12 10:15:00,5187.267,5181.267,60.0,TP,70,78.6,2026-03
SELL,2026-03-12 10:45:00,2026-03-12 11:15:00,5182.345,5176.345,60.0,TP,75,61.8,2026-03
SELL,2026-03-13 03:30:00,2026-03-13 03:45:00,5110.504,5113.504,-30.0,SL,75,61.8,2026-03
SELL,2026-03-13 19:00:00,2026-03-13 19:15:00,5039.814,5033.814,60.0,TP,80,61.8,2026-03
SELL,2026-03-16 02:00:00,2026-03-16 02:15:00,5015.144,5018.144,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 03:45:00,2026-03-16 04:00:00,5019.182,5022.182,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 04:45:00,2026-03-16 05:30:00,5013.016,5016.016,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 05:45:00,2026-03-16 06:00:00,5017.509,5020.509,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 06:30:00,2026-03-16 06:45:00,5022.559,5016.559,60.0,TP,75,78.6,2026-03
SELL,2026-03-16 12:30:00,2026-03-16 12:45:00,5021.92,5015.92,60.0,TP,70,78.6,2026-03
SELL,2026-03-16 13:15:00,2026-03-16 13:30:00,5021.105,5024.105,-30.0,SL,70,78.6,2026-03
SELL,2026-03-16 14:00:00,2026-03-16 14:15:00,5028.277,5022.277,60.0,TP,70,78.6,2026-03
SELL,2026-03-16 14:30:00,2026-03-16 14:45:00,5001.148,4995.148,60.0,TP,75,61.8,2026-03
SELL,2026-03-16 19:00:00,2026-03-16 19:15:00,5011.944,5014.944,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 19:30:00,2026-03-16 19:45:00,5010.278,5013.278,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 22:30:00,2026-03-16 22:45:00,5001.836,5004.836,-30.0,SL,75,61.8,2026-03
SELL,2026-03-16 23:30:00,2026-03-16 23:45:00,5008.965,5011.965,-30.0,SL,75,61.8,2026-03
SELL,2026-03-17 00:00:00,2026-03-17 00:15:00,5006.733,5009.733,-30.0,SL,80,61.8,2026-03
SELL,2026-03-17 00:45:00,2026-03-17 01:00:00,5003.288,5006.288,-30.0,SL,75,61.8,2026-03
SELL,2026-03-17 05:45:00,2026-03-17 06:00:00,5020.949,5014.949,60.0,TP,70,78.6,2026-03
SELL,2026-03-17 08:00:00,2026-03-17 08:15:00,5021.806,5024.806,-30.0,SL,75,61.8,2026-03
SELL,2026-03-17 12:45:00,2026-03-17 13:00:00,5011.623,5014.623,-30.0,SL,75,61.8,2026-03
SELL,2026-03-17 14:15:00,2026-03-17 14:30:00,5008.502,5011.502,-30.0,SL,80,61.8,2026-03
SELL,2026-03-17 14:45:00,2026-03-17 15:00:00,5007.767,5010.767,-30.0,SL,80,61.8,2026-03
SELL,2026-03-17 17:00:00,2026-03-17 17:15:00,5003.257,5006.257,-30.0,SL,75,61.8,2026-03
SELL,2026-03-17 18:45:00,2026-03-17 19:30:00,5004.002,4998.002,60.0,TP,75,61.8,2026-03
SELL,2026-03-17 20:15:00,2026-03-17 22:00:00,5003.869,4997.869,60.0,TP,75,61.8,2026-03
SELL,2026-03-17 22:15:00,2026-03-17 22:30:00,5001.875,4995.875,60.0,TP,75,61.8,2026-03
SELL,2026-03-17 23:00:00,2026-03-17 23:30:00,4999.338,5002.338,-30.0,SL,75,61.8,2026-03
SELL,2026-03-18 00:15:00,2026-03-18 00:45:00,5003.047,5006.047,-30.0,SL,75,61.8,2026-03
SELL,2026-03-18 01:30:00,2026-03-18 01:45:00,5001.674,4995.674,60.0,TP,75,61.8,2026-03
BUY,2026-03-18 06:00:00,2026-03-18 06:30:00,5009.181,5015.181,60.0,TP,80,61.8,2026-03
SELL,2026-03-18 07:00:00,2026-03-18 07:30:00,5009.697,5003.697,60.0,TP,75,61.8,2026-03
SELL,2026-03-18 18:00:00,2026-03-18 18:15:00,4887.435,4881.435,60.0,TP,70,78.6,2026-03
SELL,2026-03-19 03:45:00,2026-03-19 05:30:00,4851.053,4845.053,60.0,TP,75,61.8,2026-03
SELL,2026-03-19 16:15:00,2026-03-19 16:30:00,4599.239,4602.239,-30.0,SL,75,61.8,2026-03
SELL,2026-03-19 18:00:00,2026-03-19 18:15:00,4614.668,4608.668,60.0,TP,75,61.8,2026-03
SELL,2026-03-19 18:30:00,2026-03-19 18:45:00,4609.113,4612.113,-30.0,SL,75,61.8,2026-03
SELL,2026-03-19 22:30:00,2026-03-19 22:45:00,4646.85,4649.85,-30.0,SL,70,78.6,2026-03
SELL,2026-03-19 23:00:00,2026-03-19 23:15:00,4638.598,4641.598,-30.0,SL,70,78.6,2026-03
SELL,2026-03-19 23:30:00,2026-03-19 23:45:00,4635.911,4638.911,-30.0,SL,75,78.6,2026-03
SELL,2026-03-20 01:00:00,2026-03-20 01:15:00,4652.091,4655.091,-30.0,SL,75,61.8,2026-03
SELL,2026-03-20 05:00:00,2026-03-20 05:15:00,4718.397,4721.397,-30.0,SL,75,78.6,2026-03
SELL,2026-03-20 05:30:00,2026-03-20 05:45:00,4709.48,4703.48,60.0,TP,75,78.6,2026-03
SELL,2026-03-20 06:00:00,2026-03-20 06:15:00,4691.63,4694.63,-30.0,SL,75,61.8,2026-03
SELL,2026-03-20 08:30:00,2026-03-20 08:45:00,4707.1,4701.1,60.0,TP,70,61.8,2026-03
SELL,2026-03-23 15:30:00,2026-03-23 15:45:00,4407.848,4410.848,-30.0,SL,70,78.6,2026-03
SELL,2026-03-24 00:00:00,2026-03-24 00:15:00,4422.359,4416.359,60.0,TP,75,61.8,2026-03
SELL,2026-03-24 10:00:00,2026-03-24 10:15:00,4426.252,4429.252,-30.0,SL,70,78.6,2026-03
SELL,2026-03-24 11:00:00,2026-03-24 11:15:00,4419.533,4413.533,60.0,TP,80,61.8,2026-03
SELL,2026-03-24 14:30:00,2026-03-24 14:45:00,4412.553,4415.553,-30.0,SL,75,61.8,2026-03
SELL,2026-03-24 15:00:00,2026-03-24 15:15:00,4411.666,4414.666,-30.0,SL,70,61.8,2026-03
BUY,2026-03-24 16:00:00,2026-03-24 16:15:00,4414.281,4420.281,60.0,TP,75,61.8,2026-03
BUY,2026-03-24 16:30:00,2026-03-24 16:45:00,4424.443,4421.443,-30.0,SL,70,78.6,2026-03
BUY,2026-03-24 19:00:00,2026-03-24 19:15:00,4404.331,4401.331,-30.0,SL,80,61.8,2026-03
BUY,2026-03-24 20:00:00,2026-03-24 20:15:00,4400.72,4406.72,60.0,TP,75,61.8,2026-03
BUY,2026-03-25 10:15:00,2026-03-25 10:30:00,4555.487,4552.487,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 12:30:00,2026-03-25 12:45:00,4547.496,4544.496,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 13:00:00,2026-03-25 13:15:00,4559.236,4556.236,-30.0,SL,80,61.8,2026-03
BUY,2026-03-25 15:15:00,2026-03-25 15:30:00,4560.838,4557.838,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 16:15:00,2026-03-25 16:30:00,4555.497,4552.497,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 16:45:00,2026-03-25 17:00:00,4555.553,4552.553,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 17:15:00,2026-03-25 17:30:00,4553.592,4550.592,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 18:00:00,2026-03-25 18:15:00,4551.378,4548.378,-30.0,SL,75,61.8,2026-03
BUY,2026-03-25 22:30:00,2026-03-25 22:45:00,4532.404,4529.404,-30.0,SL,80,61.8,2026-03
BUY,2026-03-26 00:00:00,2026-03-26 00:15:00,4527.575,4524.575,-30.0,SL,75,61.8,2026-03
BUY,2026-03-26 00:30:00,2026-03-26 00:45:00,4528.102,4534.102,60.0,TP,70,61.8,2026-03
BUY,2026-03-26 03:45:00,2026-03-26 04:00:00,4516.565,4513.565,-30.0,SL,75,61.8,2026-03
SELL,2026-03-26 11:00:00,2026-03-26 11:15:00,4442.035,4445.035,-30.0,SL,75,61.8,2026-03
SELL,2026-03-26 11:30:00,2026-03-26 11:45:00,4441.115,4435.115,60.0,TP,75,61.8,2026-03
SELL,2026-03-26 12:30:00,2026-03-26 12:45:00,4436.112,4439.112,-30.0,SL,75,61.8,2026-03
SELL,2026-03-26 13:45:00,2026-03-26 14:00:00,4452.7,4455.7,-30.0,SL,70,78.6,2026-03
SELL,2026-03-26 15:15:00,2026-03-26 15:30:00,4454.58,4448.58,60.0,TP,70,78.6,2026-03
SELL,2026-03-26 15:45:00,2026-03-26 16:00:00,4438.237,4441.237,-30.0,SL,75,61.8,2026-03
SELL,2026-03-26 23:00:00,2026-03-26 23:15:00,4393.148,4396.148,-30.0,SL,75,61.8,2026-03
SELL,2026-03-26 23:30:00,2026-03-26 23:45:00,4400.072,4403.072,-30.0,SL,75,61.8,2026-03
SELL,2026-03-27 07:45:00,2026-03-27 08:00:00,4447.746,4450.746,-30.0,SL,70,78.6,2026-03
SELL,2026-03-27 08:15:00,2026-03-27 08:30:00,4434.07,4437.07,-30.0,SL,75,61.8,2026-03
SELL,2026-03-27 09:30:00,2026-03-27 10:00:00,4432.829,4426.829,60.0,TP,75,61.8,2026-03
BUY,2026-03-27 18:30:00,2026-03-27 18:45:00,4525.623,4522.623,-30.0,SL,70,78.6,2026-03
BUY,2026-03-27 19:15:00,2026-03-27 19:30:00,4522.852,4519.852,-30.0,SL,80,61.8,2026-03
BUY,2026-03-30 10:00:00,2026-03-30 10:15:00,4532.934,4529.934,-30.0,SL,75,61.8,2026-03
BUY,2026-03-30 10:30:00,2026-03-30 10:45:00,4533.342,4530.342,-30.0,SL,80,61.8,2026-03
BUY,2026-03-30 15:30:00,2026-03-30 15:45:00,4551.74,4548.74,-30.0,SL,80,61.8,2026-03
BUY,2026-03-30 16:30:00,2026-03-30 16:45:00,4548.335,4545.335,-30.0,SL,80,61.8,2026-03
